epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,224.892,1.22218,1.82162,1.11982,0.92055,0.73344,0.78571,0.56038,0.99179,0.88906,0.99478,0.000332942,0.000332942,0.000332942
2,448.665,1.03033,0.96311,1.03375,0.90903,0.76086,0.83549,0.62207,0.88123,0.72727,0.96227,0.000653083,0.000653083,0.000653083
3,672.025,0.96965,0.79804,1.0137,0.97339,0.78274,0.86654,0.65354,0.77786,0.62853,0.91672,0.000960024,0.000960024,0.000960024
4,893.744,0.91289,0.70885,0.98987,0.93616,0.79565,0.8599,0.67078,0.73331,0.5958,0.90203,0.0009406,0.0009406,0.0009406
5,1116.23,0.85924,0.63824,0.96806,0.96585,0.79858,0.89447,0.70335,0.69598,0.5572,0.88577,0.0009208,0.0009208,0.0009208
6,1338.2,0.82203,0.59204,0.95498,0.96697,0.82991,0.90888,0.73345,0.63841,0.48627,0.87253,0.000901,0.000901,0.000901
7,1561.08,0.77013,0.55989,0.93956,0.95577,0.85995,0.91593,0.73238,0.63959,0.47374,0.872,0.0008812,0.0008812,0.0008812
8,1788.19,0.73749,0.53156,0.92596,0.93561,0.8932,0.94136,0.73358,0.65172,0.46187,0.87281,0.0008614,0.0008614,0.0008614
9,2022.98,0.71161,0.50335,0.91926,0.96258,0.90024,0.94221,0.7787,0.5373,0.4087,0.84607,0.0008416,0.0008416,0.0008416
10,2265.39,0.69022,0.48684,0.91254,0.9634,0.89972,0.94333,0.77617,0.53544,0.40197,0.84565,0.0008218,0.0008218,0.0008218
11,2516.63,0.67078,0.4708,0.90671,0.96252,0.89548,0.94934,0.77586,0.54594,0.39022,0.83855,0.000802,0.000802,0.000802
12,2750.85,0.64923,0.45295,0.90057,0.97531,0.91185,0.95317,0.79153,0.51588,0.37714,0.84079,0.0007822,0.0007822,0.0007822
13,2990.16,0.63111,0.44471,0.89418,0.96382,0.9085,0.95363,0.79992,0.51552,0.37254,0.83364,0.0007624,0.0007624,0.0007624
14,3222.54,0.61477,0.42016,0.88824,0.97033,0.91857,0.9546,0.82026,0.46183,0.36078,0.82769,0.0007426,0.0007426,0.0007426
15,3469.42,0.60679,0.42368,0.88794,0.97805,0.9054,0.9614,0.82061,0.45816,0.34595,0.82497,0.0007228,0.0007228,0.0007228
